# Logfile created on 2014-10-13 00:00:52 +0800 by logger.rb/41954
00:12:15 | GET  | /ssxw/82 | _200_ |  | 51 ms | 127.0.0.1 | localhost | http://localhost:3000/ssxw | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:12:27 | GET  | /zwh | _200_ |  | 7  ms | 127.0.0.1 | localhost | http://localhost:3000/ssxw/82 | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:12:28 | GET  | /tzgg | _200_ |  | 159ms | 127.0.0.1 | localhost | http://localhost:3000/zwh | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:13:28 | GET  | /tzgg | _200_ |  | 160ms | 127.0.0.1 | localhost | http://localhost:3000/zwh | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:13:48 | GET  | /tzgg | _500_ |  | 176ms | 127.0.0.1 | localhost | http://localhost:3000/zwh | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:13:48 | GET  | /__sinatra__/500.png | _404_ |  | 6  ms | 127.0.0.1 | localhost | http://localhost:3000/tzgg | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:13:55 | GET  | /tzgg | _200_ |  | 191ms | 127.0.0.1 | localhost | http://localhost:3000/zwh | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:13:57 | GET  | /tzgg/190 | _200_ |  | 37 ms | 127.0.0.1 | localhost | http://localhost:3000/tzgg | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:16:26 | GET  | /tzgg | _200_ |  | 176ms | 127.0.0.1 | localhost | http://localhost:3000/zwh | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:16:32 | GET  | /tzgg/190 | _200_ |  | 42 ms | 127.0.0.1 | localhost | http://localhost:3000/tzgg | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:16:58 | GET  | /tzgg/190 | _200_ |  | 34 ms | 127.0.0.1 | localhost | http://localhost:3000/tzgg | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:17:11 | GET  | /tzgg/190 | _200_ |  | 35 ms | 127.0.0.1 | localhost | http://localhost:3000/tzgg | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:17:23 | GET  | /tzgg/190 | _200_ |  | 33 ms | 127.0.0.1 | localhost | http://localhost:3000/tzgg | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:19:12 | GET  | /tzgg/190 | _200_ |  | 75 ms | 127.0.0.1 | localhost | http://localhost:3000/tzgg | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:20:28 | GET  | /tzgg/190 | _200_ |  | 92 ms | 127.0.0.1 | localhost | http://localhost:3000/tzgg | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
