# Logfile created on 2014-10-14 00:01:13 +0800 by logger.rb/41954
00:18:51 | GET  | /jsgc | _200_ |  | 67 ms | 127.0.0.1 | localhost | http://localhost:3000/phb | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:19:07 | GET  | /jsrc | _200_ |  | 7  ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:19:08 | GET  | /ccjl | _200_ |  | 6  ms | 127.0.0.1 | localhost | http://localhost:3000/jsrc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:19:10 | GET  | /dxcj | _200_ |  | 55 ms | 127.0.0.1 | localhost | http://localhost:3000/ccjl | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:19:11 | GET  | /ccjl | _200_ |  | 7  ms | 127.0.0.1 | localhost | http://localhost:3000/dxcj | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:19:18 | GET  | /ccjl | _200_ |  | 6  ms | 127.0.0.1 | localhost | http://localhost:3000/ccjl | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:19:21 | GET  | /dxcj | _200_ |  | 42 ms | 127.0.0.1 | localhost | http://localhost:3000/ccjl | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:19:22 | GET  | /jsrc | _200_ |  | 7  ms | 127.0.0.1 | localhost | http://localhost:3000/dxcj | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:19:24 | GET  | /jsgc | _200_ |  | 38 ms | 127.0.0.1 | localhost | http://localhost:3000/jsrc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:19:26 | GET  | /phb | _200_ |  | 610ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:19:27 | GET  | /dxcj | _200_ |  | 40 ms | 127.0.0.1 | localhost | http://localhost:3000/phb | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:19:28 | GET  | /jsrc | _200_ |  | 7  ms | 127.0.0.1 | localhost | http://localhost:3000/dxcj | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:20:09 | GET  | /zwh | _200_ |  | 6  ms | 127.0.0.1 | localhost | http://localhost:3000/jsrc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:20:33 | GET  | /zwh | _200_ |  | 5  ms | 127.0.0.1 | localhost | http://localhost:3000/jsrc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:20:37 | GET  | /tzgg | _200_ |  | 958ms | 127.0.0.1 | localhost | http://localhost:3000/zwh | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:20:40 | GET  | /tzgg?page=2 | _200_ |  | 275ms | 127.0.0.1 | localhost | http://localhost:3000/tzgg | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:20:42 | GET  | /tzgg/162 | _200_ |  | 124ms | 127.0.0.1 | localhost | http://localhost:3000/tzgg?page=2 | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:20:46 | GET  | /tzgg/154 | _200_ |  | 36 ms | 127.0.0.1 | localhost | http://localhost:3000/tzgg?page=2 | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:20:49 | GET  | /tzgg?page=3 | _200_ |  | 359ms | 127.0.0.1 | localhost | http://localhost:3000/tzgg?page=2 | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
